Profile_Id,Profile_Name,Profile_Link
103,Mazin Mahmood Ahmed Al Raisi,https://pureportal.coventry.ac.uk/en/persons/mazin-mahmood-ahmed-al-raisi
104,Yahya Mohammed Zahran Al Rawahi,https://pureportal.coventry.ac.uk/en/persons/yahya-mohammed-zahran-al-rawahi
105,Mohammad A M A H A A Alrefae,https://pureportal.coventry.ac.uk/en/persons/mohammad-a-m-a-h-a-a-alrefae
106,Raid Mohammed Saleh Al Rubaiey,https://pureportal.coventry.ac.uk/en/persons/raid-mohammed-saleh-al-rubaiey
107,Loai Alsaid,https://pureportal.coventry.ac.uk/en/persons/loai-alsaid
108,Farah Mahdi Yaseen Al-Sallami,https://pureportal.coventry.ac.uk/en/persons/farah-mahdi-yaseen-al-sallami-2
109,Hosam Al-Samarraie,https://pureportal.coventry.ac.uk/en/persons/sam-al-samarraie
110,Sian Alsop,https://pureportal.coventry.ac.uk/en/persons/sian-alsop
111,Abdulrahman Al-Surmi,https://pureportal.coventry.ac.uk/en/persons/abdulrahman-al-surmi
112,Faisal Ali Al Yahyaee,https://pureportal.coventry.ac.uk/en/persons/faisal-ali-al-yahyaee
113,Eric Amaechi,https://pureportal.coventry.ac.uk/en/persons/eric-amaechi
114,Ambi Ambituuni,https://pureportal.coventry.ac.uk/en/persons/ambi-ambituuni
115,Misbah Ameen-Khan,https://pureportal.coventry.ac.uk/en/persons/misbah-ameen-khan-2
116,Kofi Amegashie,https://pureportal.coventry.ac.uk/en/persons/kofi-amegashie
117,Taz Amietszajew,https://pureportal.coventry.ac.uk/en/persons/taz-amietszajew
118,Shohel Amin,https://pureportal.coventry.ac.uk/en/persons/shohel-amin
119,Sam Amiri,https://pureportal.coventry.ac.uk/en/persons/sam-amiri
120,Isaac Amoako,https://pureportal.coventry.ac.uk/en/persons/isaac-amoako
121,Christabell Amoakoh,https://pureportal.coventry.ac.uk/en/persons/christabell-amoakoh
122,Daniel Amund,https://pureportal.coventry.ac.uk/en/persons/daniel-amund
123,Jessica An,https://pureportal.coventry.ac.uk/en/persons/xiaojue-an
124,Sunil Anandatheertha,https://pureportal.coventry.ac.uk/en/persons/sunil-anandatheertha
125,Rachid Anane,https://pureportal.coventry.ac.uk/en/persons/rachid-anane
126,Colin Anderson,https://pureportal.coventry.ac.uk/en/persons/colin-anderson
127,Daniel Anderson,https://pureportal.coventry.ac.uk/en/persons/daniel-anderson-2
128,Hannah Andrews,https://pureportal.coventry.ac.uk/en/persons/hannah-andrews
129,Panagiotis Andrikopoulos,https://pureportal.coventry.ac.uk/en/persons/panagiotis-andrikopoulos
130,Christopher Aniche,https://pureportal.coventry.ac.uk/en/persons/christopher-aniche
131,Babatunde Anifowose,https://pureportal.coventry.ac.uk/en/persons/babatunde-anifowose
132,Sara Anisi,https://pureportal.coventry.ac.uk/en/persons/sara-anisi
133,Nancy Annan,https://pureportal.coventry.ac.uk/en/persons/nancy-annan-2
134,Ihechiluru Fortune Chinatu Anya,https://pureportal.coventry.ac.uk/en/persons/ihechiluru-fortune-chinatu-anya
135,Evangelos Symeon Apostolopoulos,https://pureportal.coventry.ac.uk/en/persons/evangelos-symeon-apostolopoulos
136,Lindsey Appleyard,https://pureportal.coventry.ac.uk/en/persons/lindsey-appleyard
137,Ana Carolina Araujo Lascano,https://pureportal.coventry.ac.uk/en/persons/ana-carolina-araujo-lascano
138,Oussama Arbouche,https://pureportal.coventry.ac.uk/en/persons/oussama-arbouche
139,Deji Aremu,https://pureportal.coventry.ac.uk/en/persons/deji-aremu
140,Balaji Aresh,https://pureportal.coventry.ac.uk/en/persons/balaji-aresh
141,Kiev Ariza,https://pureportal.coventry.ac.uk/en/persons/kiev-ariza
142,Anthony Armstrong,https://pureportal.coventry.ac.uk/en/persons/anthony-armstrong
143,Sylvester Arnab,https://pureportal.coventry.ac.uk/en/persons/sylvester-arnab
144,Sara Arouch,https://pureportal.coventry.ac.uk/en/persons/sara-arouch
145,John Arvanitakis,https://pureportal.coventry.ac.uk/en/persons/john-arvanitakis
146,Ken Asare,https://pureportal.coventry.ac.uk/en/persons/ken-asare
147,Mike Ashford,https://pureportal.coventry.ac.uk/en/persons/mike-ashford
148,Folajimi Ashiru,https://pureportal.coventry.ac.uk/en/persons/folajimi-ashiru
149,Craig Ashley,https://pureportal.coventry.ac.uk/en/persons/craig-ashley
150,Patricia Ashman,https://pureportal.coventry.ac.uk/en/persons/patricia-ashman
151,Rjaa Jawad Ashraf,https://pureportal.coventry.ac.uk/en/persons/rjaa-jawad-ashraf
152,Farzana Aslam,https://pureportal.coventry.ac.uk/en/persons/farzana-aslam
153,Hussan Aslam,https://pureportal.coventry.ac.uk/en/persons/hussan-aslam
154,Muhammad Aslam,https://pureportal.coventry.ac.uk/en/persons/muhammad-aslam-2
155,Uzzi Aslam,https://pureportal.coventry.ac.uk/en/persons/uzzi-aslam
156,Mujahid Asmal-Lee,https://pureportal.coventry.ac.uk/en/persons/mujahid-asmal-lee
157,Richard Aspinall,https://pureportal.coventry.ac.uk/en/persons/richard-aspinall
158,Taufiq Asyhari,https://pureportal.coventry.ac.uk/en/persons/taufiq-asyhari
